key,0,1,2,3
39,"Paramour's Pendant",38001,"Seasonal Gear 4",55
40,"Platinum Paramour's Pendant",38002,"Seasonal Gear 4",55
41,"Band of Eternal Passion",38003,"Seasonal Gear 4",55
42,"Peach Blossoms",30001,"Seasonal Gear 1",12
43,"Pristine Egg Cap",31001,"Seasonal Gear 1",19
44,"Vibrant Egg Cap",31002,"Seasonal Gear 1",19
45,"Brilliant Egg Cap",31003,"Seasonal Gear 1",19
46,"Midnight Egg Cap",31004,"Seasonal Gear 1",19
47,"Chocobo Egg Cap",31005,"Seasonal Gear 1",19
48,"Pristine Egg Ring",31006,"Seasonal Gear 1",19
49,"Vibrant Egg Ring",31007,"Seasonal Gear 1",19
50,"Brilliant Egg Ring",31008,"Seasonal Gear 1",19
51,"Midnight Egg Ring",31009,"Seasonal Gear 1",19
52,"Chocobo Egg Ring",31010,"Seasonal Gear 1",19
53,"Red Summer Top",33001,"Seasonal Gear 2",26
54,"Green Summer Top",33002,"Seasonal Gear 2",26
55,"Blue Summer Top",33003,"Seasonal Gear 2",26
56,"Solar Summer Top",33004,"Seasonal Gear 2",26
57,"Lunar Summer Top",33005,"Seasonal Gear 2",26
58,"Red Summer Halter",33008,"Seasonal Gear 2",26
59,"Green Summer Halter",33009,"Seasonal Gear 2",26
60,"Blue Summer Halter",33010,"Seasonal Gear 2",26
61,"Solar Summer Halter",33011,"Seasonal Gear 2",26
62,"Lunar Summer Halter",33012,"Seasonal Gear 2",26
63,"Red Summer Trunks",33015,"Seasonal Gear 2",26
64,"Green Summer Trunks",33016,"Seasonal Gear 2",26
65,"Blue Summer Trunks",33017,"Seasonal Gear 2",26
66,"Solar Summer Trunks",33018,"Seasonal Gear 2",26
67,"Lunar Summer Trunks",33019,"Seasonal Gear 2",26
68,"Red Summer Tanga",33022,"Seasonal Gear 2",26
69,"Green Summer Tanga",33023,"Seasonal Gear 2",26
70,"Blue Summer Tanga",33024,"Seasonal Gear 2",26
71,"Solar Summer Tanga",33025,"Seasonal Gear 2",26
72,"Lunar Summer Tanga",33026,"Seasonal Gear 2",26
73,"Pumpkin Head",35001,"Seasonal Gear 3",36
74,"Unripened Pumpkin Head",35002,"Seasonal Gear 3",36
75,"White Pumpkin Head",35003,"Seasonal Gear 3",36
76,"Ripened Pumpkin Head",35004,"Seasonal Gear 3",36
77,"Reindeer Antlers",36001,"Seasonal Gear 4",62
78,"Reindeer Suit",36002,"Seasonal Gear 4",62
79,"Moonlet",36003,"Seasonal Gear 4",62
80,"Patriot's Choker",42014,"Exclusive Extras",83
81,"Lord's Yukata (Blue)",33029,"Seasonal Gear 2",26
82,"Lord's Yukata (Green)",33030,"Seasonal Gear 2",26
83,"Lord's Yukata (Grey)",33031,"Seasonal Gear 2",26
84,"Lady's Yukata (Red)",33032,"Seasonal Gear 2",26
85,"Lady's Yukata (Blue)",33033,"Seasonal Gear 2",26
86,"Lady's Yukata (Black)",33034,"Seasonal Gear 2",26
87,"Lord's Drawers (Black)",33035,"Seasonal Gear 2",26
88,"Lord's Drawers (White)",33036,"Seasonal Gear 2",26
89,"Lord's Drawers (Gold)",33037,"Seasonal Gear 2",26
90,"Lady's Knickers (Black)",33038,"Seasonal Gear 2",26
91,"Lady's Knickers (White)",33039,"Seasonal Gear 2",26
92,"Lady's Knickers (Gold)",33040,"Seasonal Gear 2",26
93,"Lord's Clogs",33041,"Seasonal Gear 2",26
94,"Lady's Clogs",33042,"Seasonal Gear 2",26
95,"Woolen Sugarloaf Hat (Red)",42004,"Exclusive Extras",83
96,"Star-spangled Subligar",42005,"Exclusive Extras",83
97,"Peregrine Helm",42003,"Exclusive Extras",83
98,"Scarf of Wondrous Wit",42013,"Exclusive Extras",83
99,"White Ravens",42012,"Exclusive Extras",83
100,"Butcher's Crown",40101,"Achievements",76
101,"Chronicler's Crown",40601,"Achievements",81
102,"Paragon's Crown",40301,"Achievements",78
103,"Gambler's Crown",40401,"Achievements",79
104,"Saw of the Luminary",40501,"Achievements",80
105,"Hammer of the Luminary",40502,"Achievements",80
106,"Mallet of the Luminary",40503,"Achievements",80
107,"Gavel of the Luminary",40504,"Achievements",80
108,"Knife of the Luminary",40505,"Achievements",80
109,"Needle of the Luminary",40506,"Achievements",80
110,"Alembic of the Luminary",40507,"Achievements",80
111,"Pan of the Luminary",40508,"Achievements",80
112,"Pick of the Luminary",40509,"Achievements",80
113,"Axe of the Luminary",40510,"Achievements",80
114,"Rod of the Luminary",40511,"Achievements",80
115,"Maelstrom Escutcheon",40701,"Achievements",82
116,"Immortal Flames Escutcheon",40703,"Achievements",82
117,"Twin Adder Escutcheon",40702,"Achievements",82
118,"Crimson Standard Earrings",40704,"Achievements",82
119,"Tipping Scales Earrings",40706,"Achievements",82
120,"Lily and Serpent Earrings",40705,"Achievements",82
121,"Crimson Standard Ring",40707,"Achievements",82
122,"Tipping Scales Ring",40709,"Achievements",82
123,"Lily and Serpent Ring",40708,"Achievements",82
124,"Chocobo Mask",40001,"Achievements",75
125,"Dalamud Horn",40002,"Achievements",75
126,"Evoker's Horn",4401,"Class/Job Gear",9
127,"Evoker's Doublet",4402,"Class/Job Gear",9
128,"Evoker's Waistclout",4404,"Class/Job Gear",9
129,"Evoker's Ringbands",4403,"Class/Job Gear",9
130,"Evoker's Thighboots",4405,"Class/Job Gear",9
131,"Scholar's Mortarboard",5401,"Class/Job Gear",10
132,"Scholar's Gown",5402,"Class/Job Gear",10
133,"Scholar's Culottes",5404,"Class/Job Gear",10
134,"Scholar's Gloves",5403,"Class/Job Gear",10
135,"Scholar's Boots",5405,"Class/Job Gear",10
136,"Moogle Cap",42051,"Exclusive Extras",84
137,"Helm of Light",42052,"Exclusive Extras",84
138,"Moogle Earrings",42352,"Exclusive Extras",90
139,"Cactuar Earring",42007,"Exclusive Extras",83
140,"Bomb Earrings",42008,"Exclusive Extras",83
141,"Black Summer Top",42451,"Exclusive Extras",92
142,"Black Summer Trunks",42453,"Exclusive Extras",92
143,"Black Summer Halter",42452,"Exclusive Extras",92
144,"Black Summer Tanga",42454,"Exclusive Extras",92
145,"Ninja Hatsuburi",2601,"Class/Job Gear",6
146,"Ninja Chainmail",2602,"Class/Job Gear",6
147,"Ninja Hakama",2604,"Class/Job Gear",6
148,"Ninja Tekko",2603,"Class/Job Gear",6
149,"Ninja Kyahan",2605,"Class/Job Gear",6
150,"Garlond Goggles",42001,"Exclusive Extras",83
151,"Onion Helm",42002,"Exclusive Extras",83
152,"Asuran Armguards",42351,"Exclusive Extras",90
153,"Hermes' Shoes",42006,"Exclusive Extras",83
154,"Silver Snake Kabuto",37008,"Seasonal Gear 4",44
155,"Uma Kabuto",37051,"Seasonal Gear 4",45
156,"Crimson Uma Kabuto",37052,"Seasonal Gear 4",45
157,"Golden Uma Kabuto",37053,"Seasonal Gear 4",45
158,"Black Uma Kabuto",37054,"Seasonal Gear 4",45
159,"Summer Evening Top",33006,"Seasonal Gear 2",26
160,"Striped Summer Top",33007,"Seasonal Gear 2",26
161,"Summer Morning Halter",33013,"Seasonal Gear 2",26
162,"Striped Summer Halter",33014,"Seasonal Gear 2",26
163,"Summer Evening Trunks",33020,"Seasonal Gear 2",26
164,"Striped Summer Trunks",33021,"Seasonal Gear 2",26
165,"Summer Morning Tanga",33027,"Seasonal Gear 2",26
166,"Striped Summer Tanga",33028,"Seasonal Gear 2",26
167,"The Howling Spirit",35005,"Seasonal Gear 3",36
168,"The Wailing Spirit",35006,"Seasonal Gear 3",36
169,"Paragon's Gown",40111,"Achievements",76
170,"Warlord's Crown",40302,"Achievements",78
171,"Partisan's Crown",40307,"Achievements",78
172,"Master Gladiator's Ring",40102,"Achievements",76
173,"Master Pugilist's Ring",40103,"Achievements",76
174,"Master Marauder's Ring",40104,"Achievements",76
175,"Master Lancer's Ring",40105,"Achievements",76
176,"Master Archer's Ring",40106,"Achievements",76
177,"Master Conjurer's Ring",40108,"Achievements",76
178,"Master Thaumaturge's Ring",40109,"Achievements",76
179,"Master Arcanist's Ring",40110,"Achievements",76
180,"Master Carpenter's Ring",40512,"Achievements",80
181,"Master Blacksmith's Ring",40513,"Achievements",80
182,"Master Armorer's Ring",40514,"Achievements",80
183,"Master Goldsmith's Ring",40515,"Achievements",80
184,"Master Leatherworker's Ring",40516,"Achievements",80
185,"Master Weaver's Ring",40517,"Achievements",80
186,"Master Alchemist's Ring",40518,"Achievements",80
187,"Master Culinarian's Ring",40519,"Achievements",80
188,"Master Miner's Ring",40520,"Achievements",80
189,"Master Botanist's Ring",40521,"Achievements",80
190,"Master Fisher's Ring",40522,"Achievements",80
191,"Crimson Standard Bracelet",40710,"Achievements",82
192,"Lily and Serpent Bracelet",40711,"Achievements",82
193,"Tipping Scales Bracelet",40712,"Achievements",82
194,"Chocobo Suit",40112,"Achievements",76
195,"Ullikummi",7001,"Class/Job Gear",131
196,"Vulcan",7201,"Class/Job Gear",132
197,"Kurdalegon",7401,"Class/Job Gear",133
198,"Urcaguary",7601,"Class/Job Gear",134
199,"Pinga",7801,"Class/Job Gear",135
200,"Clotho",8001,"Class/Job Gear",136
201,"Paracelsus",8201,"Class/Job Gear",137
202,"Chantico",8401,"Class/Job Gear",138
203,"Mammon",9001,"Class/Job Gear",139
204,"Rauni",9201,"Class/Job Gear",140
205,"Halcyon Rod",9401,"Class/Job Gear",141
206,"Blazefire Saber",39051,"Seasonal Gear 5",69
207,"Vega Knuckles",39052,"Seasonal Gear 5",69
208,"l'Cie Bardiche",39053,"Seasonal Gear 5",69
209,"Bladed Lance",39054,"Seasonal Gear 5",69
210,"Starseeker",39055,"Seasonal Gear 5",69
211,"Binding Rod",39056,"Seasonal Gear 5",69
212,"Mog's Staff",39057,"Seasonal Gear 5",69
213,"Grimoire Wing",39058,"Seasonal Gear 5",69
214,"Bohemian's Coat",39059,"Seasonal Gear 5",69
215,"Bohemian's Gloves",39060,"Seasonal Gear 5",69
216,"Bohemian's Trousers",39061,"Seasonal Gear 5",69
217,"Bohemian's Boots",39062,"Seasonal Gear 5",69
218,"Guardian Corps Coat",39063,"Seasonal Gear 5",69
219,"Guardian Corps Gauntlets",39064,"Seasonal Gear 5",69
220,"Guardian Corps Skirt",39065,"Seasonal Gear 5",69
221,"Guardian Corps Boots",39066,"Seasonal Gear 5",69
222,"Thug's Mug",39201,"Seasonal Gear 5",72
223,"Snowman Head",36004,"Seasonal Gear 4",62
224,"Snowman Suit",36005,"Seasonal Gear 4",62
225,"Snowman Mitts",36006,"Seasonal Gear 4",62
226,"Valentione Hat",38051,"Seasonal Gear 4",56
227,"Valentione Apron",38052,"Seasonal Gear 4",56
228,"Valentione Apron Dress",38053,"Seasonal Gear 4",56
229,"Valentione Mitts",38054,"Seasonal Gear 4",56
230,"Valentione Trousers",38055,"Seasonal Gear 4",56
231,"Valentione Skirt",38056,"Seasonal Gear 4",56
232,"Valentione Pattens",38057,"Seasonal Gear 4",56
233,"Lord's Yukata (Blackflame)",33051,"Seasonal Gear 2",27
234,"Lord's Yukata (Whiteflame)",33052,"Seasonal Gear 2",27
235,"Lord's Yukata (Blueflame)",33053,"Seasonal Gear 2",27
236,"Lady's Yukata (Redfly)",33054,"Seasonal Gear 2",27
237,"Lady's Yukata (Bluefly)",33055,"Seasonal Gear 2",27
238,"Lady's Yukata (Pinkfly)",33056,"Seasonal Gear 2",27
239,"Eerie Hat",35051,"Seasonal Gear 3",37
240,"Eerie Robe",35052,"Seasonal Gear 3",37
241,"Eerie Tights",35053,"Seasonal Gear 3",37
242,"Eerie Crakows",35054,"Seasonal Gear 3",37
243,"Pumpkin Earrings",35055,"Seasonal Gear 3",37
244,"The Best Gown Ever",40308,"Achievements",78
245,"Ironworks Fishing Rod",40523,"Achievements",80
246,"Master Rogue's Ring",40107,"Achievements",76
247,"Hitsuji Kabuto",37101,"Seasonal Gear 4",46
248,"Black Hitsuji Kabuto",37102,"Seasonal Gear 4",46
249,"Crimson Hitsuji Kabuto",37103,"Seasonal Gear 4",46
250,"White Hitsuji Kabuto",37104,"Seasonal Gear 4",46
251,"Starlight Sugarloaf Hat",36051,"Seasonal Gear 4",63
252,"Starlight Tunic",36052,"Seasonal Gear 4",63
253,"Starlight Tights",36053,"Seasonal Gear 4",63
254,"Starlight Boots",36054,"Seasonal Gear 4",63
255,"False Mustache",36055,"Seasonal Gear 4",63
256,"",0,"Exclusive Extras",0
257,"",0,"Exclusive Extras",0
258,"",0,"Exclusive Extras",0
259,"",0,"Exclusive Extras",0
260,"Southern Seas Vest",33101,"Seasonal Gear 2",28
261,"Southern Seas Swimsuit",33103,"Seasonal Gear 2",28
262,"Southern Seas Trunks",33105,"Seasonal Gear 2",28
263,"Southern Seas Tanga",33106,"Seasonal Gear 2",28
264,"Striped Southern Seas Vest",33102,"Seasonal Gear 2",28
265,"Striped Southern Seas Swimsuit",33104,"Seasonal Gear 2",28
266,"",0,"Exclusive Extras",0
267,"Baron Helm",42101,"Exclusive Extras",85
268,"Baron Circlet",42102,"Exclusive Extras",85
269,"Baron Earrings",42103,"Exclusive Extras",85
270,"Wild Rose Bandana",42409,"Exclusive Extras",91
271,"Wild Rose Cuirass",42410,"Exclusive Extras",91
272,"Wild Rose Armguards",42411,"Exclusive Extras",91
273,"Wild Rose Breeches",42412,"Exclusive Extras",91
274,"Wild Rose Boots",42413,"Exclusive Extras",91
275,"Field Commander's Helm",40201,"Achievements",77
276,"Field Commander's Coat",40202,"Achievements",77
277,"Field Commander's Gloves",40203,"Achievements",77
278,"Field Commander's Slops",40204,"Achievements",77
279,"Field Commander's Boots",40205,"Achievements",77
280,"Slime Earrings",39202,"Seasonal Gear 5",72
281,"Goblin Cap",42455,"Exclusive Extras",92
282,"Dodo Earring",42009,"Exclusive Extras",83
283,"King Slime Crown",39203,"Seasonal Gear 5",72
284,"Fat Chocobo Head",42456,"Exclusive Extras",92
285,"Strife Vest",42401,"Exclusive Extras",91
286,"Strife Gloves",42402,"Exclusive Extras",91
287,"Strife Bags",42403,"Exclusive Extras",91
288,"Strife Boots",42404,"Exclusive Extras",91
289,"Peach Blossom Choker",30052,"Seasonal Gear 1",13
290,"Egg Earrings",31051,"Seasonal Gear 1",20
291,"Midnight Egg Earrings",31052,"Seasonal Gear 1",20
292,"Brilliant Egg Earrings",31053,"Seasonal Gear 1",20
293,"Vibrant Egg Earrings",31054,"Seasonal Gear 1",20
294,"Racing Chocobo Mask",40309,"Achievements",78
295,"Witch's Hat",35101,"Seasonal Gear 3",38
296,"Witch's Coatee",35102,"Seasonal Gear 3",38
297,"Witch's Gloves",35103,"Seasonal Gear 3",38
298,"Witch's Thighboots",35104,"Seasonal Gear 3",38
299,"Amatsu Hachigane",39001,"Seasonal Gear 5",68
300,"Amatsu Togi",39002,"Seasonal Gear 5",68
301,"Amatsu Tekko",39003,"Seasonal Gear 5",68
302,"Amatsu Haidate",39004,"Seasonal Gear 5",68
303,"Amatsu Sune-ate",39005,"Seasonal Gear 5",68
304,"Reindeer Antler Headband",36101,"Seasonal Gear 4",64
305,"Reindeer Gloves",36102,"Seasonal Gear 4",64
306,"Reindeer Hooves",36103,"Seasonal Gear 4",64
307,"Saint's Beard",36104,"Seasonal Gear 4",64
308,"Saint's Cap",36105,"Seasonal Gear 4",64
309,"See No Helm",37151,"Seasonal Gear 4",47
310,"Speak No Helm",37152,"Seasonal Gear 4",47
311,"Hear No Helm",37153,"Seasonal Gear 4",47
312,"Black-feathered Flat Hat",38101,"Seasonal Gear 4",57
313,"Red-feathered Flat Hat",38102,"Seasonal Gear 4",57
314,"Platinum Paramour's Earrings",38103,"Seasonal Gear 4",57
315,"Paramour's Earrings",38104,"Seasonal Gear 4",57
316,"Lord's Suikan",30101,"Seasonal Gear 1",14
317,"Lady's Suikan",30103,"Seasonal Gear 1",14
318,"Little Lord's Clogs",30102,"Seasonal Gear 1",14
319,"Little Lady's Clogs",30104,"Seasonal Gear 1",14
320,"Goobbue Earring",42010,"Exclusive Extras",83
321,"Tantalus Vest",42405,"Exclusive Extras",91
322,"Tantalus Cuffs",42406,"Exclusive Extras",91
323,"Tantalus Breeches",42407,"Exclusive Extras",91
324,"Tantalus Boots",42408,"Exclusive Extras",91
325,"Expeditioner's Flyers",40305,"Achievements",78
326,"Whisker of the Brave Cat",39251,"Seasonal Gear 5",73
327,"Ears of the Moon Rabbit",39253,"Seasonal Gear 5",73
328,"Paw of the Crimson Cat",39254,"Seasonal Gear 5",73
329,"Spear of the Spark Serpent",39255,"Seasonal Gear 5",73
330,"Bow of the White Wisp",39256,"Seasonal Gear 5",73
331,"Twintails of the Flame Fox",39257,"Seasonal Gear 5",73
332,"Fang of the Fearless Cat",39258,"Seasonal Gear 5",73
333,"Musket of the Metal Cat",39259,"Seasonal Gear 5",73
334,"Cane of the Shrine Guardian",39260,"Seasonal Gear 5",73
335,"Staff of the Snow Maiden",39261,"Seasonal Gear 5",73
336,"Book of the Eerie Mutt",39262,"Seasonal Gear 5",73
337,"Codex of the Shrine Guardian",39263,"Seasonal Gear 5",73
338,"Globe of the Lucky Snake",39264,"Seasonal Gear 5",73
339,"Buckler of the Legendary Cat",39252,"Seasonal Gear 5",73
340,"Yo-kai Watch",39269,"Seasonal Gear 5",73
341,"Legacy Warrior Coronet",33151,"Seasonal Gear 2",29
342,"Legacy Warrior Mail",33152,"Seasonal Gear 2",29
343,"Legacy Warrior Armguards",33153,"Seasonal Gear 2",29
344,"Legacy Warrior Breeches",33154,"Seasonal Gear 2",29
345,"Legacy Warrior Sabatons",33155,"Seasonal Gear 2",29
346,"Hatchling Earring",42011,"Exclusive Extras",83
347,"Dragon Monocle",40306,"Achievements",78
348,"Starlight Robe",36151,"Seasonal Gear 4",65
349,"Vampire's Vest",35151,"Seasonal Gear 3",39
350,"Red Tori Kabuto",37201,"Seasonal Gear 4",48
351,"Black Tori Kabuto",37202,"Seasonal Gear 4",48
352,"Leonhart Jacket",42414,"Exclusive Extras",91
353,"Leonhart Gloves",42415,"Exclusive Extras",91
354,"Leonhart Bottoms",42416,"Exclusive Extras",91
355,"Leonhart Boots",42417,"Exclusive Extras",91
356,"Songbird Hat",30156,"Seasonal Gear 1",15
357,"Songbird Jacket",30157,"Seasonal Gear 1",15
358,"Songbird Gloves",30158,"Seasonal Gear 1",15
359,"Songbird Skirt",30159,"Seasonal Gear 1",15
360,"Songbird Boots",30160,"Seasonal Gear 1",15
361,"Royal Seneschal's Chapeau",30151,"Seasonal Gear 1",15
362,"Royal Seneschal's Coat",30152,"Seasonal Gear 1",15
363,"Royal Seneschal's Fingerless Gloves",30153,"Seasonal Gear 1",15
364,"Royal Seneschal's Breeches",30154,"Seasonal Gear 1",15
365,"Royal Seneschal's Boots",30155,"Seasonal Gear 1",15
366,"Chicken Knife",42151,"Exclusive Extras",86
367,"Ala Mhigan Earrings",42152,"Exclusive Extras",86
368,"Faire Joi",33201,"Seasonal Gear 2",30
369,"Faire Kohakama",33202,"Seasonal Gear 2",30
370,"Faire Zori",33203,"Seasonal Gear 2",30
371,"Werewolf Head",35201,"Seasonal Gear 3",40
372,"Werewolf Body",35202,"Seasonal Gear 3",40
373,"Werewolf Arms",35203,"Seasonal Gear 3",40
374,"Werewolf Bottoms",35204,"Seasonal Gear 3",40
375,"Werewolf Feet",35205,"Seasonal Gear 3",40
376,"Werewolf Legs",35206,"Seasonal Gear 3",40
377,"White Inu Kabuto",37251,"Seasonal Gear 4",49
378,"Black Inu Kabuto",37252,"Seasonal Gear 4",49
379,"Inoshishi Kabuto",37301,"Seasonal Gear 4",50
380,"Crimson Inoshishi Kabuto",37302,"Seasonal Gear 4",50
381,"Inferno Mask",42551,"Exclusive Extras",94
382,"Crag Mask",42552,"Exclusive Extras",94
383,"Housemaid's Brim",42558,"Exclusive Extras",94
384,"Housemaid's Apron Dress",42559,"Exclusive Extras",94
385,"Housemaid's Wristdresses",42560,"Exclusive Extras",94
386,"Housemaid's Bloomers",42561,"Exclusive Extras",94
387,"Housemaid's Pumps",42562,"Exclusive Extras",94
388,"Butler's Monocle",42553,"Exclusive Extras",94
389,"Butler's Jacket",42554,"Exclusive Extras",94
390,"Butler's Gloves",42555,"Exclusive Extras",94
391,"Butler's Slacks",42556,"Exclusive Extras",94
392,"Butler's Gaiters",42557,"Exclusive Extras",94
393,"Far Eastern Journey Battle Staff",42563,"Exclusive Extras",94
394,"Far Eastern Journey Circlet",42564,"Exclusive Extras",94
395,"Far Eastern Journey Jacket",42565,"Exclusive Extras",94
396,"Far Eastern Journey Armlets",42566,"Exclusive Extras",94
397,"Far Eastern Journey Bottoms",42567,"Exclusive Extras",94
398,"Far Eastern Journey Shoes",42568,"Exclusive Extras",94
399,"Cait Sith Ears",42353,"Exclusive Extras",90
400,"Moogle Head",42501,"Exclusive Extras",93
401,"Moogle Body",42502,"Exclusive Extras",93
402,"Moogle Arms",42503,"Exclusive Extras",93
403,"Moogle Buns",42504,"Exclusive Extras",93
404,"Moogle Legs",42505,"Exclusive Extras",93
405,"Abes Jacket",42506,"Exclusive Extras",93
406,"Abes Gloves",42507,"Exclusive Extras",93
407,"Abes Halfslops",42508,"Exclusive Extras",93
408,"Abes Boots",42509,"Exclusive Extras",93
409,"High Summoner's Dress",42510,"Exclusive Extras",93
410,"High Summoner's Armlets",42511,"Exclusive Extras",93
411,"High Summoner's Boots",42512,"Exclusive Extras",93
412,"Endless Summer Glasses",33251,"Seasonal Gear 2",31
413,"Endless Summer Top",33252,"Seasonal Gear 2",31
414,"Endless Summer Bottom",33253,"Seasonal Gear 2",31
415,"Endless Summer Sandals",33254,"Seasonal Gear 2",31
416,"Choir Hat",36201,"Seasonal Gear 4",66
417,"Choir Robe",36202,"Seasonal Gear 4",66
418,"Choir Shoes",36203,"Seasonal Gear 4",66
419,"Crimson Nezumi Kabuto",37351,"Seasonal Gear 4",51
420,"Cobalt Nezumi Kabuto",37352,"Seasonal Gear 4",51
421,"Matoya's Hat",42354,"Exclusive Extras",90
422,"Aetheryte Earring",42202,"Exclusive Extras",87
423,"Lucian Prince's Jacket",39101,"Seasonal Gear 5",70
424,"Lucian Prince's Fingerless Glove",39102,"Seasonal Gear 5",70
425,"Lucian Prince's Bottoms",39103,"Seasonal Gear 5",70
426,"Lucian Prince's Boots",39104,"Seasonal Gear 5",70
427,"Flower Crown",30201,"Seasonal Gear 1",16
428,"Spriggan Jacket",31101,"Seasonal Gear 1",21
429,"Spriggan Bottoms",31102,"Seasonal Gear 1",21
430,"Spriggan Boots",31103,"Seasonal Gear 1",21
431,"Gigas Greatsword",38151,"Seasonal Gear 4",58
432,"Tonberry Knife",38152,"Seasonal Gear 4",58
433,"Moonfire Hachimaki",33301,"Seasonal Gear 2",32
434,"White Painted Moogle Mask",33302,"Seasonal Gear 2",32
435,"Black Painted Moogle Mask",33303,"Seasonal Gear 2",32
436,"Painted Namazu Mask",33304,"Seasonal Gear 2",32
437,"White Moonfire Happi",33305,"Seasonal Gear 2",32
438,"Red Moonfire Happi",33306,"Seasonal Gear 2",32
439,"Black Moonfire Happi",33307,"Seasonal Gear 2",32
440,"Moonfire Tabi",33308,"Seasonal Gear 2",32
441,"Revolver",42201,"Exclusive Extras",87
442,"Ribbon",42457,"Exclusive Extras",92
443,"Crimson Ushi Kabuto",37401,"Seasonal Gear 4",52
444,"Black Ushi Kabuto",37402,"Seasonal Gear 4",52
445,"Valentione Rose Hat",38201,"Seasonal Gear 4",59
446,"Valentione Rose Waistcoat",38202,"Seasonal Gear 4",59
447,"Valentione Rose Gloves",38203,"Seasonal Gear 4",59
448,"Valentione Rose Slacks",38204,"Seasonal Gear 4",59
449,"Valentione Rose Shoes",38205,"Seasonal Gear 4",59
450,"Valentione Forget-me-not Hat",38206,"Seasonal Gear 4",59
451,"Valentione Forget-me-not Waistcoat",38207,"Seasonal Gear 4",59
452,"Valentione Forget-me-not Gloves",38208,"Seasonal Gear 4",59
453,"Valentione Forget-me-not Slacks",38209,"Seasonal Gear 4",59
454,"Valentione Forget-me-not Shoes",38210,"Seasonal Gear 4",59
455,"Valentione Acacia Hat",38211,"Seasonal Gear 4",59
456,"Valentione Acacia Waistcoat",38212,"Seasonal Gear 4",59
457,"Valentione Acacia Gloves",38213,"Seasonal Gear 4",59
458,"Valentione Acacia Slacks",38214,"Seasonal Gear 4",59
459,"Valentione Acacia Shoes",38215,"Seasonal Gear 4",59
460,"Valentione Rose Ribboned Hat",38216,"Seasonal Gear 4",59
461,"Valentione Rose Dress",38217,"Seasonal Gear 4",59
462,"Valentione Rose Ribboned Gloves",38218,"Seasonal Gear 4",59
463,"Valentione Rose Tights",38219,"Seasonal Gear 4",59
464,"Valentione Rose Heels",38220,"Seasonal Gear 4",59
465,"Valentione Forget-me-not Ribboned Hat",38221,"Seasonal Gear 4",59
466,"Valentione Forget-me-not Dress",38222,"Seasonal Gear 4",59
467,"Valentione Forget-me-not Ribboned Gloves",38223,"Seasonal Gear 4",59
468,"Valentione Forget-me-not Tights",38224,"Seasonal Gear 4",59
469,"Valentione Forget-me-not Heels",38225,"Seasonal Gear 4",59
470,"Valentione Acacia Ribboned Hat",38226,"Seasonal Gear 4",59
471,"Valentione Acacia Dress",38227,"Seasonal Gear 4",59
472,"Valentione Acacia Ribboned Gloves",38228,"Seasonal Gear 4",59
473,"Valentione Acacia Tights",38229,"Seasonal Gear 4",59
474,"Valentione Acacia Heels",38230,"Seasonal Gear 4",59
475,"Seneschal's Monocle",30251,"Seasonal Gear 1",17
476,"Princess's Peach Corsage",30252,"Seasonal Gear 1",17
477,"Rabbit Head",31151,"Seasonal Gear 1",22
