key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
14,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunfst/dunfst1d310/dunfst1d310",4246570,14,"Colosseum#0",0,"",,"BNpcBase#4500","Defeat Anantaboga","",0,0,30,0,27520,0,0,10,0,0,12230,21400,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,9,"InstanceContentRewardItem#45",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,0,27,0,False,0,0,True
15,"InstanceContentType#2",0,90,False,"music/ffxiv/BGM_Con_Teikoku_01.scd","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunwil/dunwil1d401/dunwil1d401",9088363,15,"Colosseum#0",0,"","",,"How can this be...? R-Reinforcements! We need more reinforcements!","",0,0,100,0,77666,0,0,100,0,0,34518,60407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,16,"InstanceContentRewardItem#80",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,86,47,5,28,0,False,0,0,True
16,"InstanceContentType#2",0,120,False,"music/ffxiv/BGM_Con_Teikoku_02.scd","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunwil/dunwil1d502/dunwil1d502",9058465,16,"Colosseum#0",0,"","",,"Here it is. If you'd care to take the van, I'll follow after I've had a look around.","",0,0,100,0,159000,0,0,200,0,0,24460,14680,17120,0,29350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,17,"InstanceContentRewardItem#180",False,0,0,"InstanceContentBuff#1",0,,0,0,0,58,0,False,0,77,49,0,0,0,False,0,0,True
17,"InstanceContentType#2",0,90,False,,"music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunsea/dunsea1d410/dunsea1d410",4378111,17,"Colosseum#0",0,"",,"BNpcBase#4600","L-Land!? Land ho! Diamanda, I've come...urgh...home...","",0,0,40,0,27520,0,0,15,0,0,12230,21400,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,8,"InstanceContentRewardItem#45",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,0,30,0,False,0,0,True
18,"InstanceContentType#2",0,90,False,"music/ffxiv/BGM_Rade_01.scd","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunwil/dunwil1d610/dunwil1d610",4481318,18,"Colosseum#0",0,"",,"BNpcBase#4800","CUTE WRIGGLY-WIGGLIES!
CRUSH PUNY ONES!","",0,0,40,0,27520,0,0,15,0,0,12230,21400,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,69,"InstanceContentRewardItem#45",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,0,31,0,False,0,0,True
19,"InstanceContentType#2",0,90,False,"music/ffxiv/BGM_Rade_01.scd","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunfst/dunfst1d410/dunfst1d410",4497567,19,"Colosseum#0",0,"",,"BNpcBase#5000","Tiny Keys","",0,0,40,0,27520,0,0,15,0,0,12230,21400,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,12,"InstanceContentRewardItem#45",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,0,32,0,False,0,0,True
20,"InstanceContentType#2",0,90,False,"music/ffxiv/BGM_Rade_01.scd","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunsea/dunsea1d610/dunsea1d610",4543710,20,"Colosseum#0",5305,"All cheese recipes are belong to Illuminati!",,"BNpcBase#5300","Illuminati brainfruit is frontmost! Uplanders have no chance to survive! ","",0,0,50,0,30580,0,0,20,0,0,13590,23780,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,0,"InstanceContentRewardItem#50",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,153,0,0,33,0,False,0,0,True
21,"InstanceContentType#2",0,90,False,,"music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunwil/dunwil1d710/dunwil1d710",4569373,21,"Colosseum#0",0,"",,"BNpcBase#5100","Run, my pretties, lest you feel the searing kiss of my magicks!","",0,0,50,0,30580,0,0,20,0,0,13590,23780,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,0,"InstanceContentRewardItem#50",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,0,34,0,False,0,0,True
22,"InstanceContentType#2",0,90,False,,"music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunfst/dunfst1d510/dunfst1d510",4574827,22,"Colosseum#0",0,"",,"BNpcBase#5400","My long slumber...hath weakened me...","",0,0,50,0,30580,0,0,20,0,0,13590,23780,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,80,"InstanceContentRewardItem#50",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,0,35,0,False,0,0,True
23,"InstanceContentType#2",0,90,False,"music/ffxiv/BGM_Dungeon_Lim_06.scd","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunsea/dunsea1d510/dunsea1d510",4685110,23,"Colosseum#0",0,"","","BNpcBase#6000","Dismember the arms and tentacles","",0,0,60,0,33640,0,0,25,0,0,14950,26160,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,0,"InstanceContentRewardItem#55",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,0,36,0,False,0,0,True
24,"InstanceContentType#2",0,90,False,"music/ffxiv/BGM_Dungeon_Gri_07.scd","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunfst/dunfst1d610/dunfst1d610",4660222,24,"Colosseum#0",0,"","","BNpcBase#6400","Aaaaaaaaah!","",0,0,60,0,33640,0,0,25,0,0,14950,26160,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,68,"InstanceContentRewardItem#55",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,0,37,0,False,0,0,True
25,"InstanceContentType#2",0,90,False,"music/ffxiv/BGM_Rade_01.scd","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunroc/dunroc1d210/dunroc1d210",4616677,25,"Colosseum#0",0,"","","BNpcBase#6100","...D-Down to the last man?
We have failed...","",0,0,60,0,33640,0,0,25,0,0,14950,26160,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,15,"InstanceContentRewardItem#55",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,0,38,0,False,0,0,True
26,"InstanceContentType#2",0,90,False,"music/ffxiv/BGM_Dungeon_Uru_07.scd","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunwil/dunwil1d810/dunwil1d810",4877226,26,"Colosseum#0",0,"","","BNpcBase#6500","Rumble...rumble...","guildhest",0,0,70,0,36690,0,0,35,0,0,16310,28540,0,0,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,75,"InstanceContentRewardItem#60",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,0,39,0,False,0,0,True
27,"InstanceContentType#2",0,90,False,"music/ffxiv/BGM_Dungeon_Ish_04.scd","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunroc/dunroc1d310/dunroc1d310",4725496,27,"Colosseum#0",0,"","","BNpcBase#6800","Defeat Fenrir","",0,0,70,0,36690,0,0,35,0,0,16310,28540,0,0,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,74,"InstanceContentRewardItem#60",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,5,40,0,False,0,0,True
28,"InstanceContentType#2",0,90,False,"music/ffxiv/BGM_Dungeon_Lim_07.scd","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunsea/dunsea1d710/dunsea1d710",4878743,28,"Colosseum#0",0,"","","BNpcBase#6600","H-How the hells did I miss!? That's <Emphasis>balls</Emphasis>, I tell ye!","An exit has appeared.",0,0,70,0,36690,0,0,35,0,0,16310,28540,0,0,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,7,"InstanceContentRewardItem#60",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,127,0,0,41,0,False,0,0,True
29,"InstanceContentType#2",0,90,False,"music/ffxiv/BGM_Dungeon_Gri_08.scd","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunfst/dunfst1d710/dunfst1d710",5018469,29,"Colosseum#0",0,"","","BNpcBase#7300","5 seconds to Crash Down...","",0,0,80,0,39750,0,0,50,0,0,17670,30920,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,10,"InstanceContentRewardItem#65",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,0,42,0,False,0,0,True
30,"InstanceContentType#2",0,90,False,"music/ffxiv/BGM_Dungeon_Lim_08.scd","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunsea/dunsea1d810/dunsea1d810",4898011,30,"Colosseum#0",0,"","","BNpcBase#6700","Sick ones make sickness, Brother!
<Emphasis>Ehehehe, so badly will they ache</Emphasis>!","",0,0,80,0,39750,0,0,50,0,0,17670,30920,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,3,"InstanceContentRewardItem#65",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,0,43,0,False,0,0,True
31,"InstanceContentType#2",0,90,False,"music/ex1/BGM_EX1_Dungeon_DravaniaL_01.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/dundra/dundra2d310/dundra2d310",5330512,31,"Colosseum#0",0,"",,"BNpcBase#7700","Argh, oil everywhere! You shall pay dearly, accursed mortals! ","",6000,15900,0,0,79920,0,355200,0,0,0,35520,62160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177600,3600,46,"InstanceContentRewardItem#100",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,5,44,0,False,0,0,True
32,"InstanceContentType#2",0,90,False,"music/ffxiv/BGM_Dungeon_Mor_01.scd","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunlak/dunlak1d110/dunlak1d110",5073636,32,"Colosseum#0",0,"","","BNpcBase#7500","Hearken to me, mortal, and thou shalt know I am thy lord.","",0,0,80,0,39750,0,0,50,0,0,17670,30920,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,101,"InstanceContentRewardItem#65",False,0,0,"InstanceContentBuff#1",0,,0,0,0,59,0,False,0,0,0,5,45,0,False,0,0,True
33,"InstanceContentType#2",0,90,False,"music/ex1/BGM_EX1_Dungeon_Abaracia_01.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/dunabr/dunabr2d210/dunabr2d210",5614685,33,"Colosseum#0",0,"",,"BNpcBase#9100","The clouds come, and the skies darken...
No... This cannot...be...","",0,0,30,0,34520,0,0,10,0,0,15340,26850,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,191800,3600,85,"InstanceContentRewardItem#40",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,252,0,0,46,0,False,0,0,True
34,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ex1/dunroc/dunroc2d210/dunroc2d210",5578485,34,"Colosseum#0",0,"",,"BNpcBase#8200","What!? No... NO!","",6000,15400,0,0,77180,0,343000,0,0,0,34300,60030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171500,3480,51,"InstanceContentRewardItem#100",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,5,47,0,False,0,0,True
35,"InstanceContentType#2",0,90,False,"music/ex1/BGM_EX1_Dungeon_MagicC_02.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/dunabr/dunabr2d310/dunabr2d310",5615552,35,"Colosseum#0",0,"",,"BNpcBase#8300","Repository node system failure imminent.
Disabling reality augmentation protocol.","",0,0,30,0,34520,0,0,10,0,0,15340,26850,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,191800,3600,84,"InstanceContentRewardItem#40",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,0,48,0,False,0,0,True
36,"InstanceContentType#2",0,90,False,"music/ex1/BGM_EX1_Dungeon_IshSebu_01.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/dunroc/dunroc2d110/dunroc2d110",5653695,36,"Colosseum#0",0,"",,"BNpcBase#8100","Clear the keep","",6000,13600,0,0,68450,0,304200,0,0,0,30420,53240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152100,3120,47,"InstanceContentRewardItem#100",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,5,49,0,False,0,0,True
37,"InstanceContentType#2",0,90,False,"music/ex1/BGM_EX1_Dungeon_DravaniaH_01.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/dundra/dundra2d110/dundra2d110",5777405,37,"Colosseum#0",0,"",,"BNpcBase#8700","Nidhogg, my beloved...
Avenge me...","",6000,14200,0,0,71420,0,317400,0,0,0,31740,55550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158700,3240,48,"InstanceContentRewardItem#100",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,5,50,0,False,0,0,True
38,"InstanceContentType#2",0,90,False,"music/ex1/BGM_EX1_Dungeon_MagicC_01.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/dunabr/dunabr2d110/dunabr2d110",5783033,38,"Colosseum#0",0,"",,"BNpcBase#8600","Our might knows no bounds!","",0,0,100,0,43160,0,0,60,0,0,9590,14390,28770,0,0,15,30,45,0,0,0,0,0,0,0,0,0,0,0,0,191800,3600,70,"InstanceContentRewardItem#50",False,0,0,"InstanceContentBuff#1",0,,0,0,0,71,0,False,0,0,0,5,51,0,False,0,0,True
39,"InstanceContentType#2",0,90,False,"music/ex1/BGM_EX1_Dungeon_DravaniaC_01.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/heavna/heavna33310/heavna33310",5724514,39,"Colosseum#0",0,"",,"BNpcBase#8500","Treacherous mortals!","",6000,14800,0,0,74390,0,330600,0,0,0,33060,57860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165300,3360,49,"InstanceContentRewardItem#100",False,0,0,"InstanceContentBuff#1",0,,0,0,0,62,0,False,0,92,0,5,52,0,False,0,0,True
40,"InstanceContentType#2",0,90,False,"music/ex1/BGM_EX1_Dungeon_Sirius_Lighthouse.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/dunsea/dunsea1d910/dunsea1d910",5963638,40,"Colosseum#0",0,"",,"BNpcBase#9500","Secure Incubator 66","",0,0,40,0,34520,0,0,15,0,0,15340,26850,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,191800,3600,52,"InstanceContentRewardItem#40",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,0,53,0,False,0,0,True
41,"InstanceContentType#2",0,90,False,"music/ex1/BGM_EX1_Dungeon_botanical_gardens.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/dundra/dundra2d410/dundra2d410",6034561,41,"Colosseum#0",0,"",,"BNpcBase#9700","Clear the Study","",0,0,40,0,34520,0,0,15,0,0,15340,26850,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,191800,3600,53,"InstanceContentRewardItem#40",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,0,54,0,False,0,0,True
42,"InstanceContentType#2",0,90,False,"music/ex1/BGM_EX1_Dungeon_Komuda2.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/dunfst/dunfst1d810/dunfst1d810",6159126,140,"Colosseum#0",0,"",,"BNpcBase#10000","This...cannot...be...
My purpose...is failed...","",0,0,50,0,38840,0,0,20,0,0,17260,30210,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,191800,3600,72,"InstanceContentRewardItem#45",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,0,55,0,False,0,0,True
43,"InstanceContentType#2",0,90,False,"music/ex1/BGM_EX1_Dungeon_DravaniaL_02.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/dundra/dundra2d510/dundra2d510",6168797,141,"Colosseum#0",0,"","","BNpcBase#9800","","",0,0,50,0,38840,0,0,20,0,0,17260,30210,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,191800,3600,71,"InstanceContentRewardItem#45",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,0,0,5,56,0,False,0,0,True
44,"InstanceContentType#2",0,90,False,"music/ex1/BGM_EX1_Dungeon_DravaniaC_02.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/dundra/dundra2d610/dundra2d610",6258659,171,"Colosseum#0",0,"",,"BNpcBase#12400","...Thy resolve hath withstood my scrutiny.
Mayhap there is hope to be had in one such as thee...","",0,0,60,0,38840,0,0,25,0,0,17260,30210,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,191800,3600,83,"InstanceContentRewardItem#45",False,0,0,"InstanceContentBuff#1",0,,0,0,0,0,0,False,0,111,0,5,57,0,False,0,0,True
