key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
8,0,"ui/icon/200000/200109.tex",8,"Thick-rimmed Glasses","Silver Thick-rimmed Glasses","Gold Thick-rimmed Glasses","Black Thick-rimmed Glasses","White Thick-rimmed Glasses","Grey Thick-rimmed Glasses","Red Thick-rimmed Glasses","Blue Thick-rimmed Glasses","Green Thick-rimmed Glasses","Brass Thick-rimmed Glasses","Purple Thick-rimmed Glasses","Brown Thick-rimmed Glasses","thick-rimmed glasses",0,"pairs of thick-rimmed glasses",0,0,1,0,0,"Thick-rimmed Glasses"
9,0,"ui/icon/200000/200073.tex",9,"Minstrel's Spectacles","Silver Minstrel's Spectacles","Gold Minstrel's Spectacles","Black Minstrel's Spectacles","White Minstrel's Spectacles","Grey Minstrel's Spectacles","Red Minstrel's Spectacles","Blue Minstrel's Spectacles","Green Minstrel's Spectacles","Brass Minstrel's Spectacles","Purple Minstrel's Spectacles","Brown Minstrel's Spectacles","minstrel's spectacles",0,"pairs of minstrel's spectacles",0,0,1,0,0,"Minstrel's Spectacles"
10,0,"ui/icon/200000/200121.tex",10,"Pince-nez","Silver Pince-nez","Gold Pince-nez","Black Pince-nez","White Pince-nez","Grey Pince-nez","Red Pince-nez","Blue Pince-nez","Green Pince-nez","Brass Pince-nez","Purple Pince-nez","Brown Pince-nez","pince-nez",0,"pairs of pince-nez",0,0,1,0,0,"Pince-nez"
11,0,"ui/icon/200000/200133.tex",11,"Magnifiers","Silver Magnifiers","Gold Magnifiers","Black Magnifiers","White Magnifiers","Grey Magnifiers","Red Magnifiers","Blue Magnifiers","Green Magnifiers","Brass Magnifiers","Purple Magnifiers","Brown Magnifiers","magnifiers",0,"pairs of magnifiers",0,0,1,0,0,"Magnifiers"
12,0,"ui/icon/200000/200145.tex",12,"Brass Goggles","Silver Brass Goggles","Gold Brass Goggles","Black Brass Goggles","White Brass Goggles","Grey Brass Goggles","Red Brass Goggles","Blue Brass Goggles","Green Brass Goggles","Bronze Brass Goggles","Purple Brass Goggles","Brown Brass Goggles","brass goggles",0,"pairs of brass goggles",0,0,1,0,0,"Brass Goggles"
13,0,"ui/icon/200000/200157.tex",13,"Under-rim Glasses","Silver Under-rim Glasses","Gold Under-rim Glasses","Black Under-rim Glasses","White Under-rim Glasses","Grey Under-rim Glasses","Red Under-rim Glasses","Blue Under-rim Glasses","Green Under-rim Glasses","Brass Under-rim Glasses","Purple Under-rim Glasses","Brown Under-rim Glasses","under-rim glasses",0,"pairs of under-rim glasses",0,0,1,0,0,"Under-rim Glasses"
14,0,"ui/icon/200000/200169.tex",14,"Oval Reading Glasses","Silver Oval Reading Glasses","Gold Oval Reading Glasses","Black Oval Reading Glasses","White Oval Reading Glasses","Grey Oval Reading Glasses","Red Oval Reading Glasses","Blue Oval Reading Glasses","Green Oval Reading Glasses","Brass Oval Reading Glasses","Purple Oval Reading Glasses","Brown Oval Reading Glasses","oval reading glasses",0,"pairs of oval reading glasses",0,0,1,0,0,"Oval Reading Glasses"
15,0,"ui/icon/200000/200181.tex",15,"Elegant Rimless Glasses","Silver Elegant Rimless Glasses","Gold Elegant Rimless Glasses","Black Elegant Rimless Glasses","White Elegant Rimless Glasses","Grey Elegant Rimless Glasses","Red Elegant Rimless Glasses","Blue Elegant Rimless Glasses","Green Elegant Rimless Glasses","Brass Elegant Rimless Glasses","Purple Elegant Rimless Glasses","Brown Elegant Rimless Glasses","elegant rimless glasses",0,"pairs of elegant rimless glasses",0,0,1,0,0,"Elegant Rimless Glasses"
16,0,"ui/icon/200000/200193.tex",16,"Cat Eye Glasses","Silver Cat Eye Glasses","Gold Cat Eye Glasses","Black Cat Eye Glasses","White Cat Eye Glasses","Grey Cat Eye Glasses","Red Cat Eye Glasses","Blue Cat Eye Glasses","Green Cat Eye Glasses","Brass Cat Eye Glasses","Purple Cat Eye Glasses","Brown Cat Eye Glasses","cat eye glasses",0,"pairs of cat eye glasses",0,0,1,0,0,"Cat Eye Glasses"
17,0,"ui/icon/200000/200205.tex",17,"Slim Frame Glasses","Silver Slim Frame Glasses","Gold Slim Frame Glasses","Black Slim Frame Glasses","White Slim Frame Glasses","Grey Slim Frame Glasses","Red Slim Frame Glasses","Blue Slim Frame Glasses","Green Slim Frame Glasses","Brass Slim Frame Glasses","Purple Slim Frame Glasses","Brown Slim Frame Glasses","slim frame glasses",0,"pairs of slim frame glasses",0,0,1,0,0,"Slim Frame Glasses"
18,0,"ui/icon/200000/200217.tex",18,"Tinted Goggles","Silver Tinted Goggles","Gold Tinted Goggles","Black Tinted Goggles","White Tinted Goggles","Grey Tinted Goggles","Red Tinted Goggles","Blue Tinted Goggles","Green Tinted Goggles","Brass Tinted Goggles","Purple Tinted Goggles","Brown Tinted Goggles","tinted goggles",0,"pairs of tinted goggles",0,0,1,0,0,"Tinted Goggles"
19,0,"ui/icon/200000/200229.tex",19,"Eyepatch (Left)","Silver Eyepatch (Left)","Gold Eyepatch (Left)","Black Eyepatch (Left)","White Eyepatch (Left)","Grey Eyepatch (Left)","Red Eyepatch (Left)","Blue Eyepatch (Left)","Green Eyepatch (Left)","Brass Eyepatch (Left)","Purple Eyepatch (Left)","Brown Eyepatch (Left)","eyepatch (left)",0,"eyepatches (left)",0,1,1,0,0,"Eyepatch (Left)"
20,0,"ui/icon/200000/200241.tex",20,"Eyepatch (Right)","Silver Eyepatch (Right)","Gold Eyepatch (Right)","Black Eyepatch (Right)","White Eyepatch (Right)","Grey Eyepatch (Right)","Red Eyepatch (Right)","Blue Eyepatch (Right)","Green Eyepatch (Right)","Brass Eyepatch (Right)","Purple Eyepatch (Right)","Brown Eyepatch (Right)","eyepatch (right)",0,"eyepatches (right)",0,1,1,0,0,"Eyepatch (Right)"
21,0,"ui/icon/200000/200253.tex",21,"Metallic Eyepatch (Left)","Silver Metallic Eyepatch (Left)","Gold Metallic Eyepatch (Left)","Black Metallic Eyepatch (Left)","White Metallic Eyepatch (Left)","Grey Metallic Eyepatch (Left)","Red Metallic Eyepatch (Left)","Blue Metallic Eyepatch (Left)","Green Metallic Eyepatch (Left)","Brass Metallic Eyepatch (Left)","Purple Metallic Eyepatch (Left)","Brown Metallic Eyepatch (Left)","metallic eyepatch (left)",0,"metallic eyepatches (left)",0,0,1,0,0,"Metallic Eyepatch (Left)"
22,0,"ui/icon/200000/200265.tex",22,"Metallic Eyepatch (Right)","Silver Metallic Eyepatch (Right)","Gold Metallic Eyepatch (Right)","Black Metallic Eyepatch (Right)","White Metallic Eyepatch (Right)","Grey Metallic Eyepatch (Right)","Red Metallic Eyepatch (Right)","Blue Metallic Eyepatch (Right)","Green Metallic Eyepatch (Right)","Brass Metallic Eyepatch (Right)","Purple Metallic Eyepatch (Right)","Brown Metallic Eyepatch (Right)","metallic eyepatch (right)",0,"metallic eyepatches (right)",0,0,1,0,0,"Metallic Eyepatch (Right)"
23,0,"ui/icon/200000/200277.tex",23,"Coeurl Eyeglasses","Silver Coeurl Eyeglasses","Gold Coeurl Eyeglasses","Black Coeurl Eyeglasses","White Coeurl Eyeglasses","Grey Coeurl Eyeglasses","Red Coeurl Eyeglasses","Blue Coeurl Eyeglasses","Green Coeurl Eyeglasses","Brass Coeurl Eyeglasses","Purple Coeurl Eyeglasses","Brown Coeurl Eyeglasses","coeurl eyeglasses",0,"pairs of coeurl eyeglasses",0,0,1,0,0,"Coeurl Eyeglasses"
24,0,"ui/icon/200000/200289.tex",24,"Reading Glasses","Silver Reading Glasses","Gold Reading Glasses","Black Reading Glasses","White Reading Glasses","Grey Reading Glasses","Red Reading Glasses","Blue Reading Glasses","Green Reading Glasses","Brass Reading Glasses","Purple Reading Glasses","Brown Reading Glasses","reading glasses",0,"pairs of reading glasses",0,0,1,0,0,"Reading Glasses"
25,0,"ui/icon/200000/200301.tex",25,"Tinted Sunglasses","Silver Tinted Sunglasses","Gold Tinted Sunglasses","Black Tinted Sunglasses","White Tinted Sunglasses","Grey Tinted Sunglasses","Red Tinted Sunglasses","Blue Tinted Sunglasses","Green Tinted Sunglasses","Brass Tinted Sunglasses","Purple Tinted Sunglasses","Brown Tinted Sunglasses","tinted sunglasses",0,"pairs of tinted sunglasses ",0,0,1,0,0,"Tinted Sunglasses"
26,0,"ui/icon/200000/200313.tex",26,"Groovy Glasses","Silver Groovy Glasses","Gold Groovy Glasses","Black Groovy Glasses","White Groovy Glasses","Grey Groovy Glasses","Red Groovy Glasses","Blue Groovy Glasses","Green Groovy Glasses","Brass Groovy Glasses","Purple Groovy Glasses","Brown Groovy Glasses","groovy glasses",0,"pairs of groovy glasses",0,0,1,0,0,"Groovy Glasses"
27,0,"ui/icon/200000/200325.tex",27,"Rectangular Glasses","Silver Rectangular Glasses","Gold Rectangular Glasses","Black Rectangular Glasses","White Rectangular Glasses","Grey Rectangular Glasses","Red Rectangular Glasses","Blue Rectangular Glasses","Green Rectangular Glasses","Brass Rectangular Glasses","Purple Rectangular Glasses","Brown Rectangular Glasses","rectangular glasses",0,"pairs of rectangular glasses",0,0,1,0,0,"Rectangular Glasses"
28,0,"ui/icon/200000/200337.tex",28,"Bold-rimmed Glasses","Silver Bold-rimmed Glasses","Gold Bold-rimmed Glasses","Black Bold-rimmed Glasses","White Bold-rimmed Glasses","Grey Bold-rimmed Glasses","Red Bold-rimmed Glasses","Blue Bold-rimmed Glasses","Green Bold-rimmed Glasses","Brass Bold-rimmed Glasses","Purple Bold-rimmed Glasses","Brown Bold-rimmed Glasses","bold-rimmed glasses",0,"pairs of bold-rimmed glasses",0,0,1,0,0,"Bold-rimmed Glasses"
29,0,"ui/icon/200000/200349.tex",29,"Mythril-edged Eyepatch (Left)","Silver Mythril-edged Eyepatch (Left)","Gold Mythril-edged Eyepatch (Left)","Black Mythril-edged Eyepatch (Left)","White Mythril-edged Eyepatch (Left)","Grey Mythril-edged Eyepatch (Left)","Red Mythril-edged Eyepatch (Left)","Blue Mythril-edged Eyepatch (Left)","Green Mythril-edged Eyepatch (Left)","Brass Mythril-edged Eyepatch (Left)","Purple Mythril-edged Eyepatch (Left)","Brown Mythril-edged Eyepatch (Left)","mythril-edged eyepatch (left)",0,"mythril-edged eyepatches (left)",0,0,1,0,0,"Mythril-edged Eyepatch (Left)"
30,0,"ui/icon/200000/200361.tex",30,"Mythril-edged Eyepatch (Right)","Silver Mythril-edged Eyepatch (Right)","Gold Mythril-edged Eyepatch (Right)","Black Mythril-edged Eyepatch (Right)","White Mythril-edged Eyepatch (Right)","Grey Mythril-edged Eyepatch (Right)","Red Mythril-edged Eyepatch (Right)","Blue Mythril-edged Eyepatch (Right)","Green Mythril-edged Eyepatch (Right)","Brass Mythril-edged Eyepatch (Right)","Purple Mythril-edged Eyepatch (Right)","Brown Mythril-edged Eyepatch (Right)","mythril-edged eyepatch (right)",0,"mythril-edged eyepatches (right)",0,0,1,0,0,"Mythril-edged Eyepatch (Right)"
31,0,"ui/icon/200000/200373.tex",31,"Ornamented Leather Eyepatch (Left)","Silver Ornamented Leather Eyepatch (Left)","Gold Ornamented Leather Eyepatch (Left)","Black Ornamented Leather Eyepatch (Left)","White Ornamented Leather Eyepatch (Left)","Grey Ornamented Leather Eyepatch (Left)","Red Ornamented Leather Eyepatch (Left)","Blue Ornamented Leather Eyepatch (Left)","Green Ornamented Leather Eyepatch (Left)","Brass Ornamented Leather Eyepatch (Left)","Purple Ornamented Leather Eyepatch (Left)","Brown Ornamented Leather Eyepatch (Left)","ornamented leather eyepatch (left)",0,"ornamented leather eyepatches (left)",0,1,1,0,0,"Ornamented Leather Eyepatch (Left)"
32,0,"ui/icon/200000/200385.tex",32,"Ornamented Leather Eyepatch (Right)","Silver Ornamented Leather Eyepatch (Right)","Gold Ornamented Leather Eyepatch (Right)","Black Ornamented Leather Eyepatch (Right)","White Ornamented Leather Eyepatch (Right)","Grey Ornamented Leather Eyepatch (Right)","Red Ornamented Leather Eyepatch (Right)","Blue Ornamented Leather Eyepatch (Right)","Green Ornamented Leather Eyepatch (Right)","Brass Ornamented Leather Eyepatch (Right)","Purple Ornamented Leather Eyepatch (Right)","Brown Ornamented Leather Eyepatch (Right)","ornamented leather eyepatch (right)",0,"ornamented leather eyepatches (right)",0,1,1,0,0,"Ornamented Leather Eyepatch (Right)"
33,0,"ui/icon/200000/200397.tex",33,"Scaevan Headgear","Silver Scaevan Headgear","Gold Scaevan Headgear","Black Scaevan Headgear","White Scaevan Headgear","Grey Scaevan Headgear","Red Scaevan Headgear","Blue Scaevan Headgear","Green Scaevan Headgear","Brass Scaevan Headgear","Purple Scaevan Headgear","Brown Scaevan Headgear","set of Scaevan headgear",0,"sets of Scaevan headgear",0,0,1,0,0,"Scaevan Headgear"
34,0,"ui/icon/200000/200409.tex",34,"","","","","","","","","","","","","●RTI2シリーズ（キャスター）",0,"",0,0,1,0,0,"●RTI2シリーズ（キャスター）"
35,0,"ui/icon/200000/200421.tex",35,"Tactical Goggles","Silver Tactical Goggles","Gold Tactical Goggles","Black Tactical Goggles","White Tactical Goggles","Grey Tactical Goggles","Red Tactical Goggles","Blue Tactical Goggles","Green Tactical Goggles","Brass Tactical Goggles","Purple Tactical Goggles","Brown Tactical Goggles","tactical goggles",0,"pairs of tactical goggles",0,0,1,0,0,"Tactical Goggles"
36,0,"ui/icon/200000/200433.tex",36,"Shaded Visor","Silver Shaded Visor","Gold Shaded Visor","Black Shaded Visor","White Shaded Visor","Grey Shaded Visor","Red Shaded Visor","Blue Shaded Visor","Green Shaded Visor","Brass Shaded Visor","Purple Shaded Visor","Brown Shaded Visor","shaded visor",0,"shaded visors",0,0,1,0,0,"Shaded Visor"
37,0,"ui/icon/200000/200445.tex",37,"Cat Eye Reading Glasses","Silver Cat Eye Reading Glasses","Gold Cat Eye Reading Glasses","Black Cat Eye Reading Glasses","White Cat Eye Reading Glasses","Grey Cat Eye Reading Glasses","Red Cat Eye Reading Glasses","Blue Cat Eye Reading Glasses","Green Cat Eye Reading Glasses","Brass Cat Eye Reading Glasses","Purple Cat Eye Reading Glasses","Brown Cat Eye Reading Glasses","cat eye reading glasses",0,"pairs of cat eye reading glasses",0,0,1,0,0,"Cat Eye Reading Glasses"
38,0,"ui/icon/200000/200457.tex",38,"Professorial Glasses","Silver Professorial Glasses","Gold Professorial Glasses","Black Professorial Glasses","White Professorial Glasses","Grey Professorial Glasses","Red Professorial Glasses","Blue Professorial Glasses","Green Professorial Glasses","Brass Professorial Glasses","Purple Professorial Glasses","Brown Professorial Glasses","professorial glasses",0,"pairs of professorial glasses",0,0,1,0,0,"Professorial Glasses"
39,0,"ui/icon/200000/200469.tex",39,"Petite Pince-nez","Silver Petite Pince-nez","Gold Petite Pince-nez","Black Petite Pince-nez","White Petite Pince-nez","Grey Petite Pince-nez","Red Petite Pince-nez","Blue Petite Pince-nez","Green Petite Pince-nez","Brass Petite Pince-nez","Purple Petite Pince-nez","Brown Petite Pince-nez","petite pince-nez",0,"pairs of petite pince-nez",0,0,1,0,0,"Petite Pince-nez"
40,0,"ui/icon/200000/200481.tex",40,"Painted Eggy Eyeglasses","Silver Painted Eggy Eyeglasses","Gold Painted Eggy Eyeglasses","Black Painted Eggy Eyeglasses","White Painted Eggy Eyeglasses","Grey Painted Eggy Eyeglasses","Red Painted Eggy Eyeglasses","Blue Painted Eggy Eyeglasses","Green Painted Eggy Eyeglasses","Brass Painted Eggy Eyeglasses","Purple Painted Eggy Eyeglasses","Brown Painted Eggy Eyeglasses","painted eggy eyeglasses",0,"pairs of painted eggy eyeglasses",0,0,1,0,0,"Painted Eggy Eyeglasses"
41,0,"ui/icon/200000/200493.tex",41,"Party Eggy Eyeglasses","Silver Party Eggy Eyeglasses","Gold Party Eggy Eyeglasses","Black Party Eggy Eyeglasses","White Party Eggy Eyeglasses","Grey Party Eggy Eyeglasses","Red Party Eggy Eyeglasses","Blue Party Eggy Eyeglasses","Green Party Eggy Eyeglasses","Brass Party Eggy Eyeglasses","Purple Party Eggy Eyeglasses","Brown Party Eggy Eyeglasses","party eggy eyeglasses",0,"pairs of party eggy eyeglasses",0,0,1,0,0,"Party Eggy Eyeglasses"
42,0,"ui/icon/200000/200505.tex",42,"Slim Frame Eggy Eyeglasses","Silver Slim Frame Eggy Eyeglasses","Gold Slim Frame Eggy Eyeglasses","Black Slim Frame Eggy Eyeglasses","White Slim Frame Eggy Eyeglasses","Grey Slim Frame Eggy Eyeglasses","Red Slim Frame Eggy Eyeglasses","Blue Slim Frame Eggy Eyeglasses","Green Slim Frame Eggy Eyeglasses","Brass Slim Frame Eggy Eyeglasses","Purple Slim Frame Eggy Eyeglasses","Brown Slim Frame Eggy Eyeglasses","slim frame eggy eyeglasses",0,"pairs of slim frame eggy eyeglasses",0,0,1,0,0,"Slim Frame Eggy Eyeglasses"
43,0,"ui/icon/200000/200517.tex",43,"Spriggan Eyeglasses","Silver Spriggan Eyeglasses","Gold Spriggan Eyeglasses","Black Spriggan Eyeglasses","White Spriggan Eyeglasses","Grey Spriggan Eyeglasses","Red Spriggan Eyeglasses","Blue Spriggan Eyeglasses","Green Spriggan Eyeglasses","Brass Spriggan Eyeglasses","Purple Spriggan Eyeglasses","Brown Spriggan Eyeglasses","spriggan eyeglasses",0,"pairs of spriggan eyeglasses",0,0,1,0,0,"Spriggan Eyeglasses"
44,0,"ui/icon/200000/200529.tex",44,"Chicken Eyeglasses","Silver Chicken Eyeglasses","Gold Chicken Eyeglasses","Black Chicken Eyeglasses","White Chicken Eyeglasses","Grey Chicken Eyeglasses","Red Chicken Eyeglasses","Blue Chicken Eyeglasses","Green Chicken Eyeglasses","Brass Chicken Eyeglasses","Purple Chicken Eyeglasses","Brown Chicken Eyeglasses","chicken eyeglasses",0,"pairs of chicken eyeglasses",0,0,1,0,0,"Chicken Eyeglasses"
45,0,"ui/icon/200000/200541.tex",45,"Blooming Eyeglasses","Silver Blooming Eyeglasses","Gold Blooming Eyeglasses","Black Blooming Eyeglasses","White Blooming Eyeglasses","Grey Blooming Eyeglasses","Red Blooming Eyeglasses","Blue Blooming Eyeglasses","Green Blooming Eyeglasses","Brass Blooming Eyeglasses","Purple Blooming Eyeglasses","Brown Blooming Eyeglasses","blooming eyeglasses",0,"pairs of blooming eyeglasses",0,0,1,0,0,"Blooming Eyeglasses"
46,0,"ui/icon/200000/200553.tex",46,"Comfortable Eye Mask","Silver Comfortable Eye Mask","Gold Comfortable Eye Mask","Black Comfortable Eye Mask","White Comfortable Eye Mask","Grey Comfortable Eye Mask","Red Comfortable Eye Mask","Blue Comfortable Eye Mask","Green Comfortable Eye Mask","Brass Comfortable Eye Mask","Purple Comfortable Eye Mask","Brown Comfortable Eye Mask","comfortable eye mask",0,"comfortable eye masks",0,0,1,0,0,"Comfortable Eye Mask"
47,0,"ui/icon/200000/200565.tex",47,"Holospecs","Silver Holospecs","Gold Holospecs","Black Holospecs","White Holospecs","Grey Holospecs","Red Holospecs ","Blue Holospecs","Green Holospecs","Brass Holospecs","Purple Holospecs","Brown Holospecs","pair of holospecs",0,"pairs of holospecs",0,0,1,0,0,"Holospecs"
48,0,"ui/icon/200000/200577.tex",48,"Blindfold Eyepatch (Left)","Silver Blindfold Eyepatch (Left)","Gold Blindfold Eyepatch (Left)","Black Blindfold Eyepatch (Left)","White Blindfold Eyepatch (Left)","Grey Blindfold Eyepatch (Left)","Red Blindfold Eyepatch (Left)","Blue Blindfold Eyepatch (Left)","Green Blindfold Eyepatch (Left)","Brass Blindfold Eyepatch (Left)","Purple Blindfold Eyepatch (Left)","Brown Blindfold Eyepatch (Left)","blindfold eyepatch (left)",0,"blindfold eyepatches (left)",0,0,1,0,0,"Blindfold Eyepatch (Left)"
49,0,"ui/icon/200000/200589.tex",49,"Blindfold Eyepatch (Right)","Silver Blindfold Eyepatch (Right)","Gold Blindfold Eyepatch (Right)","Black Blindfold Eyepatch (Right)","White Blindfold Eyepatch (Right)","Grey Blindfold Eyepatch (Right)","Red Blindfold Eyepatch (Right)","Blue Blindfold Eyepatch (Right)","Green Blindfold Eyepatch (Right)","Brass Blindfold Eyepatch (Right)","Purple Blindfold Eyepatch (Right)","Brown Blindfold Eyepatch (Right)","blindfold eyepatch (right)",0,"blindfold eyepatches (right)",0,0,1,0,0,"Blindfold Eyepatch (Right)"
50,0,"ui/icon/200000/200601.tex",50,"Holovisor","Silver Holovisor","Gold Holovisor","Black Holovisor","White Holovisor","Grey Holovisor","Red Holovisor","Blue Holovisor","Green Holovisor","Brass Holovisor","Purple Holovisor","Brown Holovisor","holovisor",0,"holovisors",0,0,1,0,0,"Holovisor"
51,0,"ui/icon/200000/200613.tex",51,"Dark Glasses","Silver Dark Glasses","Gold Dark Glasses","Black Dark Glasses","White Dark Glasses","Grey Dark Glasses","Red Dark Glasses","Blue Dark Glasses","Green Dark Glasses","Brass Dark Glasses","Purple Dark Glasses","Brown Dark Glasses","pair of dark glasses",0,"pairs of dark glasses",0,0,1,0,0,"Dark Glasses"
52,0,,52,"","","","","","","","","","","","","ベーシック・オーバルグラス",0,"",0,0,1,0,0,"ベーシック・オーバルグラス"
53,0,,53,"","","","","","","","","","","","","ティアドロップグラス",0,"",0,0,1,0,0,"ティアドロップグラス"
54,0,"ui/icon/200000/200649.tex",54,"Sash Blinder (Left)","Silver Sash Blinder (Left)","Gold Sash Blinder (Left)","Black Sash Blinder (Left)","White Sash Blinder (Left)","Grey Sash Blinder (Left)","Red Sash Blinder (Left)","Blue Sash Blinder (Left)","Green Sash Blinder (Left)","Brass Sash Blinder (Left)","Purple Sash Blinder (Left)","Brown Sash Blinder (Left)","sash blinder (left)",0,"sash blinders (left)",0,0,1,0,0,"Sash Blinder (Left)"
55,0,"ui/icon/200000/200661.tex",55,"Sash Blinder (Right)","Silver Sash Blinder (Right)","Gold Sash Blinder (Right)","Black Sash Blinder (Right)","White Sash Blinder (Right)","Grey Sash Blinder (Right)","Red Sash Blinder (Right)","Blue Sash Blinder (Right)","Green Sash Blinder (Right)","Brass Sash Blinder (Right)","Purple Sash Blinder (Right)","Brown Sash Blinder (Right)","sash blinder (right)",0,"sash blinders (right)",0,0,1,0,0,"Sash Blinder (Right)"
56,0,"ui/icon/200000/200673.tex",56,"Studded Eyepatch (Left)","Silver Studded Eyepatch (Left)","Gold Studded Eyepatch (Left)","Black Studded Eyepatch (Left)","White Studded Eyepatch (Left)","Grey Studded Eyepatch (Left)","Red Studded Eyepatch (Left)","Blue Studded Eyepatch (Left)","Green Studded Eyepatch (Left)","Brass Studded Eyepatch (Left)","Purple Studded Eyepatch (Left)","Brown Studded Eyepatch (Left)","studded eyepatch (left)",0,"studded eyepatches (left)",0,0,1,0,0,"Studded Eyepatch (Left)"
57,0,"ui/icon/200000/200685.tex",57,"Studded Eyepatch (Right)","Silver Studded Eyepatch (Right)","Gold Studded Eyepatch (Right)","Black Studded Eyepatch (Right)","White Studded Eyepatch (Right)","Grey Studded Eyepatch (Right)","Red Studded Eyepatch (Right)","Blue Studded Eyepatch (Right)","Green Studded Eyepatch (Right)","Brass Studded Eyepatch (Right)","Purple Studded Eyepatch (Right)","Brown Studded Eyepatch (Right)","studded eyepatch (right)",0,"studded eyepatches (right)",0,0,1,0,0,"Studded Eyepatch (Right)"
58,0,,58,"","","","","","","","","","","","","アンティーク・モノクル",0,"",0,0,1,0,0,"アンティーク・モノクル"
59,0,,59,"","","","","","","","","","","","","シックフレーム・ゴーグル",0,"",0,0,1,0,0,"シックフレーム・ゴーグル"
60,0,"ui/icon/200000/200637.tex",60,"Half-rim Spectacles","Silver Half-rim Spectacles","Gold Half-rim Spectacles","Black Half-rim Spectacles","White Half-rim Spectacles","Grey Half-rim Spectacles","Red Half-rim Spectacles","Blue Half-rim Spectacles","Green Half-rim Spectacles","Brass Half-rim Spectacles","Purple Half-rim Spectacles","Brown Half-rim Spectacles","half-rim spectacles",0,"pairs of half-rim spectacles",0,0,1,0,0,"Half-rim Spectacles"
